iter	Passed	Remaining
0	2	234
1	3	166
2	4	139
3	4	116
4	5	102
5	5	93
6	6	86
7	7	81
8	7	76
9	8	73
10	8	70
11	9	68
12	9	65
13	10	63
14	10	61
15	11	59
16	12	61
17	13	61
18	15	64
19	17	68
20	18	69
21	18	67
22	19	65
23	20	63
24	20	61
25	21	60
26	21	58
27	22	57
28	22	55
29	23	54
30	23	53
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	33	35
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	23
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	63	0
