iter	Passed	Remaining
0	162	162520
1	164	82216
2	165	55101
3	175	43794
4	177	35227
5	180	29843
6	181	25789
7	186	23096
8	187	20630
9	188	18653
10	189	17037
11	190	15699
12	191	14551
13	193	13604
14	194	12768
15	197	12131
16	199	11558
17	201	10981
18	202	10452
19	203	9983
20	204	9554
21	205	9156
22	208	8840
23	214	8709
24	224	8764
25	230	8645
26	233	8428
27	236	8218
28	248	8318
29	251	8116
30	252	7901
31	254	7699
32	256	7505
33	257	7314
34	258	7133
35	260	6962
36	263	6850
37	264	6696
38	272	6724
39	278	6677
40	287	6735
41	292	6664
42	294	6550
43	300	6522
44	302	6427
45	303	6303
46	304	6180
47	305	6065
48	306	5952
49	307	5841
50	308	5738
51	310	5652
52	316	5651
53	317	5566
54	319	5484
55	320	5402
56	321	5321
57	322	5243
58	323	5165
59	324	5086
60	334	5156
61	336	5084
62	337	5017
63	338	4946
64	339	4881
65	340	4814
66	341	4749
67	348	4775
68	349	4718
69	350	4657
70	351	4598
71	352	4541
72	352	4482
73	353	4425
74	354	4369
75	355	4316
76	355	4264
77	356	4213
78	360	4203
79	363	4176
80	363	4129
81	364	4083
82	365	4034
83	365	3990
84	366	3948
85	367	3906
86	368	3864
87	368	3822
88	369	3781
89	370	3743
90	371	3710
91	377	3727
92	378	3691
93	379	3655
94	379	3619
95	380	3583
96	381	3548
97	381	3513
98	382	3479
99	383	3447
100	383	3414
101	384	3383
102	385	3354
103	385	3324
104	386	3295
105	390	3295
106	394	3289
107	395	3262
108	398	3261
109	400	3237
110	401	3212
111	402	3187
112	402	3163
113	403	3137
114	404	3112
115	405	3087
116	406	3064
117	407	3042
118	407	3019
119	408	2996
120	409	2974
121	410	2951
122	413	2949
123	414	2929
124	415	2908
125	416	2887
126	416	2864
127	417	2844
128	418	2824
129	419	2804
130	419	2785
131	420	2766
132	421	2748
133	422	2730
134	423	2711
135	424	2695
136	425	2679
137	429	2684
138	431	2669
139	432	2656
140	433	2643
141	434	2625
142	436	2614
143	437	2599
144	438	2583
145	439	2568
146	439	2552
147	440	2537
148	446	2547
149	447	2533
150	448	2519
151	449	2505
152	450	2492
153	451	2478
154	452	2464
155	452	2450
156	453	2436
157	454	2423
158	455	2409
159	456	2396
160	460	2398
161	462	2389
162	462	2376
163	463	2363
164	464	2350
165	465	2337
166	466	2325
167	467	2312
168	468	2301
169	468	2289
170	469	2277
171	470	2265
172	471	2253
173	474	2253
174	476	2247
175	477	2235
176	478	2223
177	479	2216
178	480	2206
179	481	2195
180	482	2184
181	483	2172
182	484	2161
183	484	2150
184	485	2139
185	486	2128
186	489	2130
187	490	2120
188	491	2110
189	492	2100
190	493	2090
191	494	2080
192	495	2070
193	496	2060
194	496	2050
195	497	2041
196	498	2031
197	499	2021
198	499	2012
199	500	2003
200	501	1993
201	506	2001
202	507	1992
203	508	1984
204	509	1976
205	510	1966
206	511	1957
207	511	1948
208	512	1940
209	513	1931
210	514	1922
211	514	1913
212	515	1905
213	516	1896
214	518	1893
215	520	1888
216	521	1882
217	522	1875
218	524	1869
219	525	1864
220	526	1856
221	527	1848
222	528	1840
223	529	1834
224	530	1827
225	535	1833
226	536	1827
227	537	1820
228	540	1821
229	542	1815
230	545	1815
231	546	1808
232	552	1820
233	554	1815
234	556	1813
235	557	1806
236	559	1800
237	560	1795
238	562	1789
239	572	1812
240	573	1807
241	575	1801
